model,batch,num_recomp,total_recomp_ops,recomp_size_MB,max_allocated_gpu_MB,offline_time_s,training_time_s,budget
resnet18,256,3,16,576.0048828125,1147.97705078125,1.9933977127075195,63.713505268096924,1003.52
resnet18,256,1,7,256.001953125,1339.32080078125,1.948824405670166,61.23998236656189,1361.92
resnet50,256,8,63,4160.0361328125,3457.548828125,3.710205316543579,154.9436113834381,3072.0
resnet50,256,3,30,2240.017578125,4815.0419921875,3.709841251373291,146.24413657188416,4710.4
resnet50,256,1,10,192.01171875,6798.5478515625,3.7202718257904053,137.10944294929504,6758.4
resnet152,256,19,182,7360.1474609375,7496.171875,15.226529836654663,323.21690344810486,7168.0
resnet152,256,9,82,4672.0537109375,10004.6806640625,15.234312295913696,305.7536461353302,10035.2
resnet152,256,4,23,1920.0107421875,12823.4736328125,15.30940842628479,292.94190645217896,13619.2
inceptionv3,256,13,69,4098.4013671875,5903.04638671875,10.511044025421143,289.62677454948425,5939.2
inceptionv3,256,10,23,1689.8876953125,8287.45068359375,10.554041624069214,277.0312192440033,8396.8
inceptionv3,256,0,0,0.0,9780.55712890625,10.290313720703125,267.88289499282837,10854.4
googlenet,256,13,117,2157.4462890625,1705.8583984375,3.3203368186950684,86.13957047462463,1536.0
googlenet,256,7,94,1296.818359375,2481.27197265625,3.393376350402832,81.72437167167664,2355.2
googlenet,256,3,3,273.0,3394.552734375,3.3893520832061768,77.17163825035095,3379.2
googlenet,256,13,117,2157.4462890625,1705.8583984375,3.3527297973632812,86.22168040275574,1536.0
googlenet,256,7,94,1296.81835937,2481.27197265625,3.401365041732788,81.55476188659668,2355.2
googlenet,256,3,3,273.0,3394.552734375,3.408139705657959,77.82296133041382,3379.2
googlenet,256,3,3,273.0,3394.552734375,3.4157471656799316,77.90993404388428,3379.2
